Time,PID,Name,CPU_Total,Memory_Used_GB,Disk_Read_MB,Disk_Write_MB
1749674195,2683,firefox,0.0,0.6621475219726562,427.05078125,1484.765625
1749674195,4442,bash,0.0,0.0052490234375,12.046875,94.04296875
1749674195,17793,python3,0.0,0.20637893676757812,48.03125,0.02734375
1749674195,3646,gnome-terminal-server,0.0,0.0640716552734375,39.99609375,0.5546875
1749674195,2290,gnome-software,0.0,0.19031906127929688,16.19921875,0.0078125
1749674197,17793,python3,14.4,0.2515525817871094,0.12890625,0.0
1749674197,2067,gnome-shell,5.8,0.256103515625,0.00390625,0.0
1749674197,1,systemd,0.0,0.017333984375,0.0,0.0
1749674197,2,kthreadd,0.0,0.0,0.0,0.0
1749674197,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674198,1,systemd,0.0,0.017333984375,0.0,0.0
1749674198,2,kthreadd,0.0,0.0,0.0,0.0
1749674198,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674198,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674198,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674199,1,systemd,1.0,0.017333984375,0.0,0.0
1749674199,2,kthreadd,0.0,0.0,0.0,0.0
1749674199,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674199,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674199,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674200,1,systemd,0.0,0.017333984375,0.0,0.0
1749674200,2,kthreadd,0.0,0.0,0.0,0.0
1749674200,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674200,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674200,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674201,1,systemd,0.0,0.017333984375,0.0,0.0
1749674201,2,kthreadd,0.0,0.0,0.0,0.0
1749674201,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674201,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674201,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674202,17793,python3,9.6,0.2590293884277344,0.0,0.015625
1749674202,1,systemd,0.0,0.017333984375,0.0,0.0
1749674202,2,kthreadd,0.0,0.0,0.0,0.0
1749674202,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674202,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674203,1,systemd,0.0,0.017333984375,0.0,0.0
1749674203,2,kthreadd,0.0,0.0,0.0,0.0
1749674203,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674203,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674203,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674204,1,systemd,0.0,0.017333984375,0.0,0.0
1749674204,2,kthreadd,0.0,0.0,0.0,0.0
1749674204,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674204,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674204,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674205,2683,firefox,0.0,0.6620559692382812,0.0,0.5625
1749674205,1,systemd,0.0,0.017333984375,0.0,0.0
1749674205,2,kthreadd,0.0,0.0,0.0,0.0
1749674205,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674205,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674206,1,systemd,0.0,0.017333984375,0.0,0.0
1749674206,2,kthreadd,0.0,0.0,0.0,0.0
1749674206,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674206,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674206,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674207,1,systemd,0.0,0.017333984375,0.0,0.0
1749674207,2,kthreadd,0.0,0.0,0.0,0.0
1749674207,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674207,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674207,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674208,17793,python3,11.5,0.25969696044921875,0.0,0.015625
1749674208,1,systemd,0.0,0.017333984375,0.0,0.0
1749674208,2,kthreadd,0.0,0.0,0.0,0.0
1749674208,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674208,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674209,17793,python3,10.6,0.24908447265625,0.0,0.00390625
1749674209,1,systemd,0.0,0.017333984375,0.0,0.0
1749674209,2,kthreadd,0.0,0.0,0.0,0.0
1749674209,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674209,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674210,1,systemd,0.0,0.017333984375,0.0,0.0
1749674210,2,kthreadd,0.0,0.0,0.0,0.0
1749674210,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674210,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674210,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674211,2683,firefox,0.0,0.6621780395507812,0.0,0.40234375
1749674211,1,systemd,0.0,0.017333984375,0.0,0.0
1749674211,2,kthreadd,0.0,0.0,0.0,0.0
1749674211,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674211,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674212,17793,python3,16.4,0.2596549987792969,0.0,0.00390625
1749674212,1,systemd,0.0,0.017333984375,0.0,0.0
1749674212,2,kthreadd,0.0,0.0,0.0,0.0
1749674212,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674212,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674213,17793,python3,11.5,0.24910354614257812,0.0,0.01953125
1749674213,1,systemd,0.0,0.017333984375,0.0,0.0
1749674213,2,kthreadd,0.0,0.0,0.0,0.0
1749674213,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674213,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674214,1,systemd,0.0,0.017333984375,0.0,0.0
1749674214,2,kthreadd,0.0,0.0,0.0,0.0
1749674214,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674214,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674214,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674215,1,systemd,0.0,0.017333984375,0.0,0.0
1749674215,2,kthreadd,0.0,0.0,0.0,0.0
1749674215,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674215,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674215,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674216,1,systemd,0.0,0.017333984375,0.0,0.0
1749674216,2,kthreadd,0.0,0.0,0.0,0.0
1749674216,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674216,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674216,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674217,1,systemd,0.0,0.017333984375,0.0,0.0
1749674217,2,kthreadd,0.0,0.0,0.0,0.0
1749674217,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674217,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674217,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674218,17793,python3,15.4,0.2600440979003906,0.0,0.015625
1749674218,1,systemd,0.0,0.017333984375,0.0,0.0
1749674218,2,kthreadd,0.0,0.0,0.0,0.0
1749674218,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674218,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674219,1,systemd,0.0,0.017333984375,0.0,0.0
1749674219,2,kthreadd,0.0,0.0,0.0,0.0
1749674219,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674219,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674219,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674220,1,systemd,0.0,0.017333984375,0.0,0.0
1749674220,2,kthreadd,0.0,0.0,0.0,0.0
1749674220,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674220,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674220,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674221,17793,python3,12.5,0.24952316284179688,0.0,0.00390625
1749674221,1,systemd,0.0,0.017333984375,0.0,0.0
1749674221,2,kthreadd,0.0,0.0,0.0,0.0
1749674221,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674221,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674222,17793,python3,16.4,0.2600975036621094,0.0,0.00390625
1749674222,1,systemd,0.0,0.017333984375,0.0,0.0
1749674222,2,kthreadd,0.0,0.0,0.0,0.0
1749674222,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674222,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674224,17793,python3,11.6,0.2600975036621094,0.0,0.015625
1749674224,1,systemd,0.0,0.017333984375,0.0,0.0
1749674224,2,kthreadd,0.0,0.0,0.0,0.0
1749674224,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674224,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674225,1,systemd,0.0,0.017333984375,0.0,0.0
1749674225,2,kthreadd,0.0,0.0,0.0,0.0
1749674225,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674225,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674225,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674226,1,systemd,0.0,0.017333984375,0.0,0.0
1749674226,2,kthreadd,0.0,0.0,0.0,0.0
1749674226,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674226,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674226,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1749674227,17793,python3,16.4,0.2601203918457031,0.0,0.00390625
1749674227,1,systemd,0.0,0.017333984375,0.0,0.0
1749674227,2,kthreadd,0.0,0.0,0.0,0.0
1749674227,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674227,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674228,1,systemd,0.0,0.017333984375,0.0,0.0
1749674228,2,kthreadd,0.0,0.0,0.0,0.0
1749674228,3,pool_workqueue_,0.0,0.0,0.0,0.0
1749674228,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1749674228,5,kworker/R-sync_,0.0,0.0,0.0,0.0
