Datetime,Time,Fan,Motherboard,Motherboard CPU
17:00:01,0.0,597.0,27.0,26.0
17:02:02,2.0166666666666515,595.0,27.0,26.0
17:04:01,4.0,598.0,28.0,26.0
17:06:01,6.0,589.0,27.0,26.0
17:08:01,8.0,592.0,27.0,26.0
17:10:01,10.0,599.0,27.0,26.0
17:12:01,12.0,583.0,28.0,26.0
17:14:02,14.016666666666652,601.0,27.0,26.5
17:16:01,16.0,591.0,27.0,26.5
17:18:01,18.0,583.0,28.0,26.5
17:20:01,20.0,592.0,27.0,26.5
17:22:01,22.0,590.0,28.0,26.5
17:24:01,24.0,593.0,28.0,26.5
17:26:02,26.01666666666665,600.0,27.0,26.5
17:28:01,28.0,583.0,27.0,27.0
17:30:01,30.0,582.0,28.0,27.5
17:32:01,32.0,593.0,27.0,27.5
17:34:01,34.0,590.0,28.0,27.5
17:36:01,36.0,580.0,28.0,27.0
17:46:01,46.0,597.0,28.0,27.0
17:48:01,48.0,583.0,26.0,26.5
17:50:01,50.0,601.0,26.0,26.5
17:52:01,52.0,591.0,27.0,26.5
17:54:02,54.01666666666665,593.0,27.0,27.0
