Time,"Temp:Edge,0","Temp:Tctl,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11
2025-06-26_16:52:12,31.0,33.9,2995.9,3007.0,3007.0,2973.4,2975.8,3007.0,3007.0,3007.0,3007.0,2972.1,3007.0,3007.0,2974.0,7.4,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26_16:52:14,31.0,33.8,3002.2,3007.0,2975.4,3007.0,2974.7,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.2,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
2025-06-26_16:52:16,31.0,33.9,3002.1,3007.0,3007.0,3007.0,2978.0,3007.0,3007.0,3007.0,3007.0,2977.2,3007.0,3007.0,3007.0,0.4,0.5,0.0,0.0,3.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0
2025-06-26_16:52:18,32.0,34.0,2978.4,2973.2,2978.3,2972.8,2974.3,2972.9,2974.9,2971.7,2973.6,2974.7,2978.9,2968.9,2976.7,0.8,0.5,0.5,1.0,2.0,0.5,0.5,2.5,0.5,0.5,1.0,0.0,0.0
2025-06-26_16:52:20,31.0,34.9,2999.6,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,2978.2,3007.0,2977.7,2976.6,2.3,3.6,1.5,2.0,5.0,0.5,1.0,7.9,1.5,1.0,1.5,1.5,1.0
2025-06-26_16:52:22,31.0,34.6,3004.4,3007.0,3007.0,3007.0,2976.4,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.5,2.0,1.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26_16:52:24,31.0,34.2,2999.6,3007.0,3007.0,3007.0,3007.0,3007.0,2976.5,3007.0,3007.0,3007.0,2977.0,3007.0,3007.0,0.4,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
2025-06-26_16:52:26,31.0,35.0,2956.7,2955.5,2955.5,2955.5,2955.4,2955.5,2955.5,2955.5,2955.5,2955.5,2955.5,2955.5,2955.6,43.5,44.7,43.8,43.1,44.0,42.5,43.3,43.0,42.5,43.7,44.3,43.8,44.0
2025-06-26_16:52:28,32.0,35.8,2958.7,2957.7,2957.7,2957.7,2957.6,2957.7,2957.7,2957.7,2957.7,2957.6,2957.7,2957.7,2957.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:52:30,32.0,36.0,2957.5,2957.8,2957.9,2957.9,2957.9,2957.9,2957.9,2957.9,2957.9,2957.9,2957.6,2957.9,2957.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:52:32,32.0,36.0,2958.7,2958.8,2958.7,2958.7,2958.8,2958.8,2958.8,2958.8,2958.7,2958.7,2956.6,2958.8,2958.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:52:34,32.0,36.1,2958.2,2957.8,2957.8,2957.8,2957.8,2957.8,2957.8,2957.8,2957.8,2957.8,2957.0,2957.8,2957.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
