Time,"Temp:Edge,0","Temp:Tctl,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11
2025-06-25_16:05:46,32.0,36.1,3160.9,5436.1,3007.0,3007.0,2718.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,2713.9,3007.0,6.3,80.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25_16:05:48,32.0,35.8,3160.8,4248.1,3007.0,3007.0,3007.0,3007.0,3007.0,3623.2,3007.0,3007.0,3007.0,3622.2,3007.0,0.7,1.5,0.5,0.0,1.5,1.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0
2025-06-25_16:05:50,32.0,35.2,3007.0,4137.3,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
2025-06-25_16:05:52,32.0,35.4,3058.1,3620.1,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.5,1.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0
2025-06-25_16:05:54,32.0,35.0,3096.9,3475.0,3617.9,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.2,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2025-06-25_16:05:56,32.0,34.6,3114.0,3678.1,3619.3,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.2,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25_16:05:58,32.0,34.9,3141.1,4000.0,3623.8,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.5,3.0,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2025-06-25_16:06:00,32.0,34.9,3118.0,3581.5,4356.4,3007.0,3007.0,3007.0,3007.0,3527.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.5,2.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
2025-06-25_16:06:02,31.0,34.6,3058.4,4307.0,3007.0,3007.0,3623.5,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.3,2.0,-0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2025-06-25_16:06:04,34.0,60.2,5264.3,5264.3,5264.3,5264.3,5264.3,5264.3,5264.3,5264.3,5264.3,5264.3,5262.1,5262.0,5262.1,87.4,88.1,88.0,88.1,88.1,88.1,87.6,87.1,86.9,87.1,86.6,86.6,87.1
2025-06-25_16:06:06,35.0,63.1,5266.4,5265.9,5265.9,5265.9,5265.8,5265.8,5265.9,5265.7,5265.8,5265.9,5265.9,5265.8,5265.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:08,35.0,63.5,5262.8,5262.8,5262.8,5262.8,5262.8,5262.8,5262.8,5262.8,5262.8,5262.8,5262.8,5262.8,5262.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:10,35.0,64.0,5270.1,5265.8,5265.7,5265.7,5265.7,5265.7,5265.7,5260.9,5265.7,5265.7,5265.7,5265.7,5265.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:12,35.0,64.5,5266.1,5266.1,5266.1,5266.1,5266.2,5266.1,5261.0,5258.8,5261.1,5261.1,5261.0,5261.0,5261.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:14,35.0,64.6,5261.1,5261.1,5261.1,5261.1,5261.1,5261.1,5261.0,5261.1,5261.0,5261.1,5261.1,5261.1,5261.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:16,36.0,64.8,5265.2,5265.2,5265.2,5265.2,5265.2,5265.2,5265.2,5265.2,5265.2,5265.2,5265.2,5265.2,5265.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:18,36.0,65.1,5260.4,5260.4,5260.4,5260.4,5260.4,5260.3,5260.3,5260.3,5260.3,5260.4,5260.3,5260.4,5260.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:20,37.0,65.2,5206.1,5206.5,5206.5,5206.5,5206.5,5206.5,5206.5,5202.1,5206.5,5206.5,5206.5,5206.5,5206.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:22,36.0,65.4,5258.1,5259.4,5259.4,5259.4,5257.5,5259.4,5259.4,5259.4,5259.4,5259.4,5259.4,5259.4,5259.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:24,36.0,65.4,5261.4,5260.2,5260.2,5260.2,5260.0,5260.2,5260.2,5260.1,5260.2,5260.2,5260.2,5260.1,5260.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:26,36.0,65.5,5253.9,5254.5,5254.5,5254.6,5254.2,5254.5,5254.6,5254.6,5254.5,5254.6,5254.6,5254.6,5254.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:28,37.0,65.6,5251.6,5257.5,5257.5,5257.5,5257.3,5257.5,5257.6,5257.5,5257.5,5257.5,5257.5,5257.5,5257.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:30,36.0,65.8,5244.0,5244.3,5244.3,5244.3,5241.1,5244.3,5244.3,5244.3,5244.3,5244.3,5244.3,5244.3,5244.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:32,37.0,66.1,5246.0,5246.2,5246.2,5246.3,5243.8,5246.3,5246.2,5246.3,5246.2,5246.3,5246.2,5246.2,5246.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:34,37.0,66.0,5246.0,5252.1,5252.1,5252.1,5250.0,5252.1,5252.1,5252.1,5252.1,5252.1,5252.2,5252.1,5252.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
