Time,"Temp:Edge,0","Temp:Tctl,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11
2025-06-13_12:01:02,31.0,33.8,3009.9,3014.0,3011.6,3014.3,3014.0,3007.0,3007.0,3007.0,3007.0,3007.0,3017.1,3007.0,3007.0,9.8,0.0,0.0,0.0,83.3,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
2025-06-13_12:01:04,30.0,33.6,3009.1,3007.0,3013.5,3007.0,3015.8,3007.0,3007.0,3007.0,3018.8,3007.0,3007.0,3007.0,3007.0,0.3,1.0,0.5,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2025-06-13_12:01:06,31.0,34.5,3007.8,3007.0,3007.0,3007.0,3015.3,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.9,3.9,0.5,0.5,3.4,0.5,0.0,1.0,1.5,0.0,0.0,0.0,0.0
2025-06-13_12:01:08,31.0,34.2,3008.8,3017.2,3018.2,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.4,2.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2025-06-13_12:01:10,31.0,33.9,3008.5,3015.6,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3015.9,3007.0,3007.0,3007.0,3007.0,0.3,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-13_12:01:12,30.0,33.9,3008.5,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3016.3,3007.0,3016.3,3007.0,3007.0,0.9,6.5,0.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
2025-06-13_12:01:14,30.0,33.6,3007.6,3014.8,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-06-13_12:01:16,31.0,33.6,3010.2,3007.0,3007.0,3007.0,3016.1,3007.0,3007.0,3017.2,3020.8,3007.0,3007.0,3011.9,3007.0,0.3,0.5,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.0,0.0
2025-06-13_12:01:18,31.0,33.5,3008.8,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3015.6,3007.0,3007.0,3007.0,3019.9,3007.0,0.3,0.5,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
2025-06-13_12:01:20,30.0,33.4,3007.7,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3014.9,3007.0,3007.0,0.3,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0
